Time(s),Distance(m)
9.636,0.082552
9.648,0.082552
9.660,0.082552
9.672,0.082552
9.684,0.082552
9.696,0.082553
9.709,0.082553
9.721,0.082553
9.733,0.082553
9.745,0.082554
9.757,0.082554
9.769,0.082554
9.781,0.082554
9.793,0.082555
9.805,0.082555
9.817,0.082555
9.829,0.082555
9.841,0.082555
9.853,0.082556
9.865,0.082556
9.877,0.082556
9.889,0.082556
9.901,0.082556
9.914,0.082557
9.926,0.082557
9.938,0.082557
9.950,0.082557
9.962,0.082557
9.974,0.082558
9.986,0.082558
9.998,0.082558
10.010,0.082558
10.022,0.082558
10.034,0.082559
10.046,0.082559
10.058,0.082559
10.070,0.082559
10.082,0.082559
10.094,0.082560
10.106,0.082560
10.119,0.082560
10.131,0.082560
10.143,0.082560
10.155,0.082561
10.167,0.082561
10.179,0.082561
10.191,0.082561
10.203,0.082561
10.215,0.082561
10.227,0.082562
10.239,0.082562
10.251,0.082562
10.263,0.082562
10.275,0.082562
10.287,0.082562
10.299,0.082563
10.312,0.082563
10.324,0.082563
10.336,0.082563
10.348,0.082563
10.360,0.082563
10.372,0.082564
10.384,0.082564
10.396,0.082564
10.408,0.082564
10.420,0.082564
10.432,0.082564
10.444,0.082565
10.456,0.082565
10.468,0.082565
10.480,0.082565
10.492,0.082565
10.504,0.082565
10.517,0.082566
10.529,0.082566
10.541,0.082566
10.553,0.082566
10.565,0.082566
10.577,0.082566
10.589,0.082566
10.601,0.082567
10.613,0.082567
10.625,0.082567
10.637,0.082567
10.649,0.082567
10.661,0.082567
10.673,0.082567
10.685,0.082568
10.697,0.082568
10.710,0.082568
10.722,0.082568
10.734,0.082568
10.746,0.082568
10.758,0.082568
10.770,0.082568
10.782,0.082569
10.794,0.082569
10.806,0.082569
10.818,0.082569
10.830,0.082569
10.842,0.082569
10.854,0.082569
10.866,0.082570
10.878,0.082570
10.890,0.082570
10.902,0.082570
10.915,0.082570
10.927,0.082570
10.939,0.082570
10.951,0.082570
10.963,0.082570
10.975,0.082571
10.987,0.082571
10.999,0.082571
11.011,0.082571
11.023,0.082571
11.035,0.082571
11.047,0.082571
11.059,0.082571
11.071,0.082572
11.083,0.082572
11.095,0.082572
11.107,0.082572
11.120,0.082572
11.132,0.082572
11.144,0.082572
11.156,0.082572
11.168,0.082572
11.180,0.082573
11.192,0.082573
11.204,0.082573
11.216,0.082573
11.228,0.082573
11.240,0.082573
11.252,0.082573
11.264,0.082573
11.276,0.082573
11.288,0.082573
11.300,0.082574
11.313,0.082574
11.325,0.082574
11.337,0.082574
11.349,0.082574
11.361,0.082574
11.373,0.082574
11.385,0.082574
11.397,0.082574
11.409,0.082574
11.421,0.082574
11.433,0.082575
11.445,0.082575
11.457,0.082575
11.469,0.082575
11.481,0.082575
11.493,0.082575
11.505,0.082575
11.518,0.082575
11.530,0.082575
11.542,0.082575
11.554,0.082575
11.566,0.082576
11.578,0.082576
11.590,0.082576
11.602,0.082576
11.614,0.082576
11.626,0.082576
11.638,0.082576
11.650,0.082576
11.662,0.082576
11.674,0.082576
11.686,0.082576
11.698,0.082576
11.711,0.082577
11.723,0.082577
11.735,0.082577
11.747,0.082577
11.759,0.082577
11.771,0.082577
11.783,0.082577
11.795,0.082577
11.807,0.082577
11.819,0.082577
11.831,0.082577
11.843,0.082577
11.855,0.082577
11.867,0.082578
11.879,0.082578
11.891,0.082578
11.903,0.082578
11.916,0.082578
11.928,0.082578
11.940,0.082578
11.952,0.082578
11.964,0.082578
11.976,0.082578
11.988,0.082578
12.000,0.082578
12.012,0.082578
12.024,0.082578
12.036,0.082579
12.048,0.082579
